headline;type;date;section;author;authorInfo;location;url
El domingo sal a la calle a pedir un carril bici para la Castellana;opinion;05/04/2019;mejores_ciudades;Plataforma por un Carril Bici en la Castellana;;;eldiario.es/tribunaabierta/domingo-calle-pedir-carril-Castellana_6_884771531.html
La acera par de Gran Vía, el punto más caliente para peatones y Madrid Río, para ciclistas;news;01/04/2019;mejores_ciudades;Analía Plaza,Ana Ordaz;;;eldiario.es/madrid/lado-Gran-Via-caro-impar_0_884012281.html
La ciudadanía impulsa el 'car sharing';opinion;27/03/2019;mejores_ciudades;Mariana Vilnitzky;;;eldiario.es/alternativaseconomicas/ciudadania-impulsa-car-sharing_6_881971815.html
Carmena aprueba el plan que ilegaliza el 95% de los pisos turísticos del centro y algunos propietarios amenazan con incumplir;news;27/03/2019;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Carmena-aprueba-ilegaliza-turisticos-Madrid_0_882261977.html
Mantenlo transversal;opinion;19/03/2019;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Mantenlo-transversal_6_879522051.html
Madrid registró en 2018 el dato más bajo de uso de vehículos privados, que ha caído un 23% desde 2005 ;news;19/03/2019;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/especialmente-significativo-descenso-vehiculo-privado_0_879462787.html
Madrid Central empieza a multar este sábado: 90 euros por entrar en el área restringida con un vehículo no autorizado;news;14/03/2019;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Empiezan-multas-Madrid-Central-repaso_0_877712403.html
Ciudades ante desafíos globales ;opinion;14/03/2019;mejores_ciudades;Odón Elorza;Diputado socialista, secretario de Democracia Participativa y Transparencia ;;eldiario.es/tribunaabierta/Ciudades-desafios-globales_6_877772234.html
Las emisiones de gases contaminantes de vehículos se reducen un 38% en Madrid Central;news;14/03/2019;mejores_ciudades;Clara Roca;;;eldiario.es/madrid/contaminacion-Madrid-Central-reduce_0_877712475.html
Así ha crecido el puerto de València a costa de la ciudad;news;10/03/2019;mejores_ciudades;Carlos Navarro Castelló;;Valencia;eldiario.es/cv/crecido-puerto-Valencia-costa-ciudad_0_875263327.html
Las normas están para romperlas (sólo si eres Cabify);opinion;07/03/2019;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/normas-romperse-solo-Cabify_6_875322460.html
El BOE ha publicado el nuevo decreto de alquiler: así afectará a los contratos que se firmen a partir de mañana miércoles;news;05/03/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/BOE-publicado-alquiler-contratos-miercoles_0_874562578.html
Los movimientos sociales reclaman más medidas porque el alquiler sigue sin ser una opción de vida estable;news;01/03/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/sindicato-inquilinos-celebra-advierte-alquiler_0_873163282.html
El Gobierno ha aprobado un nuevo decreto de vivienda y alquiler pactado con Unidos Podemos: estas son sus claves ;news;01/03/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Claves-vivienda-Gobierno-aprobara-previsiblemente_0_872813097.html
Las razones de Unidos Podemos para apoyar ahora un decreto que no limita los precios del alquiler;news;27/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/regulacion-precios-alquiler-supuesta-inconstitucionalidad_0_872463047.html
Casi un tercio de la población española vivirá concentrada en Madrid y Barcelona dentro de 15 años;news;27/02/2019;mejores_ciudades;Belén Remacha,Ana Ordaz;;;eldiario.es/sociedad/Espana-vaciada-poblacion-Madrid-Barcelona_0_871763660.html
El nuevo decreto de vivienda pactado por el Gobierno y Unidos Podemos limitará las subidas interanuales del alquiler al IPC;news;27/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Gobierno-Unidos-Podemos-IPC-interanuales_0_870363246.html
Los desahucios de Argumosa tensan la negociación entre el Gobierno y Podemos para un nuevo decreto de vivienda;news;25/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Argumosa-negociaciones-Unidos-Podemos-Gobierno_0_871763074.html
"Los movimientos por la vivienda reclaman un acuerdo a los partidos antes del 28A: ""Esto no es juego de tronos, es una emergencia""";news;22/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/movimientos-vivienda-reclaman-inminente-emergencia_0_870713123.html
El Gobierno y Unidos Podemos acercan posturas para aprobar una reforma del alquiler antes de acabar la legislatura;news;20/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Reunion_Fomento_Unidos_Podemos_0_870013251.html
"""No hay una crisis de la vivienda por un fallo del sistema, sino porque está funcionando perfectamente""";news;16/02/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/vivienda-sistema-funcione-funcionando-perfectamente_0_868263398.html
Ciudades: lo utópico es pensar que todo va a seguir igual;opinion;11/02/2019;mejores_ciudades;"José Luis Fdez. Casadevante ""Kois"",Nerea Morán Alonso,Fernando Prats";;;eldiario.es/ultima-llamada/Ciudades-utopico-pensar-seguir-igual_6_866923302.html
El delicado equilibrio de una política sobre el alquiler;opinion;04/02/2019;mejores_ciudades;Antonia Díaz Rodríguez;;;eldiario.es/piedrasdepapel/delicado-equilibrio-politica-alquiler_6_863423650.html
Cómo Vitoria-Gasteiz aumentó un 78,5% los viajes en transporte público;news;03/02/2019;mejores_ciudades;Clemente Álvarez;;;eldiario.es/ballenablanca/365_dias/Vitoria-Gasteiz-aumento-viajes-transporte-publico_0_864063641.html
Poner la ciudad por encima de la marca;opinion;31/01/2019;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Poner-ciudad-encima-marca_6_863073685.html
Guerra del taxi: esto es lo que cobra y trabaja un taxista respecto a un conductor de Uber y Cabify;news;25/01/2019;mejores_ciudades;Analía Plaza;;;eldiario.es/economia/Guerra-trabaja-respecto-conductor-VTC_0_860914783.html
"El acoso vial a ciclistas urbanos llega a las redes: ""Empecé a grabar tras un adelantamiento que rozó mi manillar""";news;24/01/2019;mejores_ciudades;Laura Galaup;;;eldiario.es/sociedad/acoso-ciclismo_urbano_0_860214671.html
Vuelven los contratos de alquiler de tres años: PP, Ciudadanos, Unidos Podemos y ERC tumban el decreto de vivienda;news;22/01/2019;mejores_ciudades;Economía ;;;eldiario.es/economia/PP-Ciudadanos-Unidos-Podemos-ERC_0_859864059.html
El Gobierno acelera una estadística de precios de alquiler necesaria para controlar las subidas desmedidas;news;20/01/2019;mejores_ciudades;Rodrigo Ponce de León;;;eldiario.es/economia/Gobierno-INE-estadistica-Unidos-Podemos_0_858814148.html
Remunicipalizar la vivienda: la última solución en Berlín para luchar contra los alquileres excesivos;news;11/01/2019;mejores_ciudades;Aldo Mas;;Berlín;eldiario.es/economia/Remunicipalizar-vivienda-Berlin-alquileres-excesivos_0_856015339.html
